path,bbox_x1,bbox_x2,bbox_y1,bbox_y2,lab,class_name,car_type
00034.jpg,37,63,614,397,132,Hyundai Veracruz SUV 2012,6
00035.jpg,223,87,1111,670,153,Land Rover Range Rover SUV 2012,6
00036.jpg,138,41,521,223,103,Ferrari 458 Italia Coupe 2012,2
00037.jpg,31,87,616,344,37,BMW Z4 Convertible 2012,1
00038.jpg,16,89,459,326,96,Dodge Charger SRT-8 2009,5
00039.jpg,53,113,614,350,104,Fisker Karma Sedan 2012,5
00040.jpg,214,110,660,403,141,Infiniti QX56 SUV 2011,6
00041.jpg,61,55,566,408,12,Audi A5 Coupe 2012,2
00042.jpg,28,61,622,371,190,Volkswagen Golf Hatchback 1991,3
00043.jpg,22,39,588,362,118,GMC Savana Van 2012,7
00044.jpg,220,193,537,364,37,BMW Z4 Convertible 2012,1
00045.jpg,12,108,489,297,185,Toyota Sequoia SUV 2012,6
00046.jpg,28,80,759,466,24,Audi TT RS Coupe 2012,2
00047.jpg,84,248,1102,899,193,Volvo 240 Sedan 1993,5
00048.jpg,142,69,753,451,176,Rolls-Royce Phantom Sedan 2012,5
00049.jpg,166,543,887,903,172,Porsche Panamera Sedan 2012,5
00050.jpg,20,96,564,341,41,Bentley Continental GT Coupe 2012,2
00051.jpg,41,181,607,465,90,Dodge Dakota Club Cab 2007,0
00052.jpg,39,29,774,395,147,Jeep Grand Cherokee SUV 2012,6
00053.jpg,161,191,425,307,14,Audi R8 Coupe 2012,2
00054.jpg,58,562,1528,1081,96,Dodge Charger SRT-8 2009,5
00055.jpg,80,120,582,391,41,Bentley Continental GT Coupe 2012,2
00056.jpg,32,48,472,267,52,Cadillac Escalade EXT Crew Cab 2007,0
00057.jpg,260,138,972,439,43,Bentley Continental Flying Spur Sedan 2007,5
00058.jpg,11,35,256,173,64,Chevrolet Avalanche Crew Cab 2012,0
00059.jpg,68,91,607,354,89,Dodge Dakota Crew Cab 2010,0
00060.jpg,129,120,345,269,123,HUMMER H3T Crew Cab 2010,0
00061.jpg,11,104,1011,742,113,Ford F-150 Regular Cab 2007,0
00062.jpg,19,21,425,265,189,Volkswagen Golf Hatchback 2012,3
00063.jpg,175,330,928,647,100,Ferrari FF Coupe 2012,2
00064.jpg,97,39,925,700,186,Toyota Camry Sedan 2012,5
00065.jpg,63,175,417,320,7,Aston Martin V8 Vantage Convertible 2012,1
00066.jpg,30,39,221,125,16,Audi 100 Sedan 1994,5
00067.jpg,129,89,594,432,110,Ford Ranger SuperCab 2011,0
00068.jpg,32,43,598,350,121,GMC Canyon Extended Cab 2012,0
00069.jpg,142,124,675,445,4,Acura TSX Sedan 2012,5
00070.jpg,220,313,1054,976,28,BMW 3 Series Sedan 2012,5
00071.jpg,8,12,639,299,125,Honda Odyssey Minivan 2012,4
00072.jpg,92,271,1178,749,93,Dodge Durango SUV 2012,6
00073.jpg,15,12,314,230,105,Ford F-450 Super Duty Crew Cab 2012,0
00074.jpg,14,12,309,223,105,Ford F-450 Super Duty Crew Cab 2012,0
00075.jpg,45,74,522,253,187,Toyota Corolla Sedan 2012,5
00076.jpg,12,27,284,166,58,Chevrolet Camaro Convertible 2012,1
00077.jpg,25,25,3502,2017,109,Ford Edge SUV 2012,6
00078.jpg,36,88,611,417,42,Bentley Continental GT Coupe 2007,2
00079.jpg,165,126,749,425,132,Hyundai Veracruz SUV 2012,6
00080.jpg,20,21,292,217,110,Ford Ranger SuperCab 2011,0
00081.jpg,10,55,540,271,7,Aston Martin V8 Vantage Convertible 2012,1
00082.jpg,63,113,597,413,191,Volkswagen Beetle Hatchback 2012,3
00083.jpg,55,48,294,205,17,Audi 100 Wagon 1994,8
00084.jpg,27,67,620,474,115,Ford E-Series Wagon Van 2012,8
00085.jpg,15,80,629,402,48,Buick Verano Sedan 2012,5
00086.jpg,119,300,1416,871,144,Jeep Patriot SUV 2012,6
00087.jpg,17,36,455,215,48,Buick Verano Sedan 2012,5
00088.jpg,171,176,2373,1751,169,Nissan Juke Hatchback 2012,3
00089.jpg,49,195,1003,617,19,Audi S6 Sedan 2011,5
00090.jpg,5,43,296,211,113,Ford F-150 Regular Cab 2007,0
00091.jpg,49,57,494,419,164,Mercedes-Benz S-Class Sedan 2012,5
00092.jpg,101,84,492,272,137,Hyundai Sonata Sedan 2012,5
00093.jpg,23,53,258,144,174,Rolls-Royce Phantom Drophead Coupe Convertible 2012,1
00094.jpg,19,60,783,440,111,Ford GT Coupe 2006,2
00095.jpg,110,171,1213,648,121,GMC Canyon Extended Cab 2012,0
00096.jpg,39,67,346,206,103,Ferrari 458 Italia Coupe 2012,2
00097.jpg,3,7,76,50,56,Chevrolet Corvette Ron Fellows Edition Z06 2007,2
00098.jpg,65,37,578,360,50,Cadillac CTS-V Sedan 2012,5
00099.jpg,27,60,486,364,36,BMW X3 SUV 2012,6
00100.jpg,22,180,454,355,70,Chevrolet Express Van 2007,7
00101.jpg,70,39,940,742,192,Volvo C30 Hatchback 2012,3
00102.jpg,99,130,396,222,104,Fisker Karma Sedan 2012,5
00103.jpg,85,107,609,381,60,Chevrolet Impala Sedan 2007,5
00104.jpg,1,76,480,315,73,Chevrolet Silverado 1500 Extended Cab 2012,0
00105.jpg,57,266,967,623,132,Hyundai Veracruz SUV 2012,6
00106.jpg,69,75,236,161,161,Mercedes-Benz C-Class Sedan 2012,5
00107.jpg,24,17,249,163,130,Hyundai Santa Fe SUV 2012,6
00108.jpg,7,27,212,147,87,Dodge Sprinter Cargo Van 2009,7
00109.jpg,18,14,248,168,120,GMC Acadia SUV 2012,6
00110.jpg,19,2,591,387,179,Spyker C8 Coupe 2009,2
00111.jpg,52,6,759,513,179,Spyker C8 Coupe 2009,2
00112.jpg,231,103,430,226,136,Hyundai Genesis Sedan 2012,5
00113.jpg,91,148,700,582,132,Hyundai Veracruz SUV 2012,6
00114.jpg,19,72,624,397,70,Chevrolet Express Van 2007,7
00115.jpg,26,90,376,243,82,Dodge Caliber Wagon 2012,8
00116.jpg,132,120,667,401,109,Ford Edge SUV 2012,6
00117.jpg,84,44,663,342,41,Bentley Continental GT Coupe 2012,2
00118.jpg,87,235,591,412,176,Rolls-Royce Phantom Sedan 2012,5
00119.jpg,173,370,1207,960,146,Jeep Liberty SUV 2012,6
00120.jpg,3,19,195,114,160,Mercedes-Benz 300-Class Convertible 1993,1
00121.jpg,49,143,487,455,108,Ford Expedition EL SUV 2009,6
00122.jpg,72,67,233,176,27,BMW 1 Series Coupe 2012,2
00123.jpg,151,568,1954,1271,143,Jaguar XK XKR 2012,2
00124.jpg,14,88,271,178,52,Cadillac Escalade EXT Crew Cab 2007,0
00125.jpg,135,761,1894,1353,28,BMW 3 Series Sedan 2012,5
00126.jpg,44,123,778,487,65,Chevrolet Cobalt SS 2010,2
00127.jpg,69,103,537,322,78,Chrysler 300 SRT-8 2010,5
00128.jpg,86,78,355,284,12,Audi A5 Coupe 2012,2
00129.jpg,50,80,592,273,135,Hyundai Accent Sedan 2012,5
00130.jpg,95,161,543,368,142,Isuzu Ascender SUV 2008,6
00131.jpg,275,195,863,474,170,Nissan 240SX Coupe 1998,2
00132.jpg,99,78,557,389,88,Dodge Journey SUV 2012,6
00133.jpg,11,126,426,360,134,Hyundai Elantra Sedan 2007,5
00134.jpg,1,2,267,185,160,Mercedes-Benz 300-Class Convertible 1993,1
00135.jpg,19,735,2669,2192,57,Chevrolet Traverse SUV 2012,6
00136.jpg,21,35,279,195,121,GMC Canyon Extended Cab 2012,0
00137.jpg,45,99,593,403,177,Scion xD Hatchback 2012,3
00138.jpg,130,282,1425,900,55,Chevrolet Corvette ZR1 2012,2
00139.jpg,72,215,628,481,183,Suzuki SX4 Sedan 2012,5
00140.jpg,62,95,633,434,190,Volkswagen Golf Hatchback 1991,3
00141.jpg,13,106,476,260,39,Bentley Arnage Sedan 2009,5
00142.jpg,78,300,952,633,59,Chevrolet HHR SS 2010,4
00143.jpg,72,51,566,412,154,Land Rover LR2 SUV 2012,6
00144.jpg,66,59,283,202,70,Chevrolet Express Van 2007,7
00145.jpg,135,36,1181,885,139,Hyundai Azera Sedan 2012,5
00146.jpg,2,5,298,162,41,Bentley Continental GT Coupe 2012,2
00147.jpg,8,12,770,309,75,Chrysler Aspen SUV 2009,6
00148.jpg,24,78,608,379,186,Toyota Camry Sedan 2012,5
00149.jpg,34,1,242,179,85,Dodge Ram Pickup 3500 Crew Cab 2010,0
00150.jpg,11,208,596,386,7,Aston Martin V8 Vantage Convertible 2012,1
00151.jpg,8,37,294,150,4,Acura TSX Sedan 2012,5
00152.jpg,23,66,499,311,46,Buick Regal GS 2012,5
00153.jpg,6,138,627,361,29,BMW 3 Series Wagon 2012,8
00154.jpg,17,105,385,243,17,Audi 100 Wagon 1994,8
00155.jpg,76,4,1585,1120,148,Jeep Compass SUV 2012,6
00156.jpg,22,21,211,139,173,Ram C/V Cargo Van Minivan 2012,4
00157.jpg,32,130,973,661,137,Hyundai Sonata Sedan 2012,5
00158.jpg,75,236,1196,846,178,Spyker C8 Convertible 2009,1
00159.jpg,37,139,988,694,23,Audi S4 Sedan 2007,5
00160.jpg,114,46,546,287,41,Bentley Continental GT Coupe 2012,2
00161.jpg,12,83,629,354,72,Chevrolet Malibu Sedan 2007,5
00162.jpg,38,66,548,385,175,Rolls-Royce Ghost Sedan 2012,5
00163.jpg,46,84,661,428,0,AM General Hummer SUV 2000,6
00164.jpg,13,29,239,174,36,BMW X3 SUV 2012,6
00165.jpg,27,65,490,220,35,BMW M6 Convertible 2010,1
00166.jpg,4,69,402,245,107,Ford Freestar Minivan 2007,4
00167.jpg,19,27,429,258,40,Bentley Mulsanne Sedan 2011,5
00168.jpg,110,96,565,389,39,Bentley Arnage Sedan 2009,5
00169.jpg,2,22,140,81,118,GMC Savana Van 2012,7
00170.jpg,48,71,615,453,118,GMC Savana Van 2012,7
00171.jpg,41,42,262,170,18,Audi TT Hatchback 2011,3
00172.jpg,6,108,493,267,162,Mercedes-Benz SL-Class Coupe 2009,2
00173.jpg,26,61,508,342,119,GMC Yukon Hybrid SUV 2012,6
00174.jpg,13,29,249,159,53,Chevrolet Silverado 1500 Hybrid Crew Cab 2012,0
00175.jpg,69,120,739,502,115,Ford E-Series Wagon Van 2012,8
00176.jpg,45,85,1005,558,65,Chevrolet Cobalt SS 2010,2
00177.jpg,98,22,650,302,49,Buick Enclave SUV 2012,6
00178.jpg,5,28,285,148,121,GMC Canyon Extended Cab 2012,0
00179.jpg,42,113,601,439,154,Land Rover LR2 SUV 2012,6
00180.jpg,3,40,297,157,141,Infiniti QX56 SUV 2011,6
00181.jpg,84,256,913,752,67,Chevrolet TrailBlazer SS 2009,6
00182.jpg,43,226,1001,630,169,Nissan Juke Hatchback 2012,3
00183.jpg,2,9,196,125,160,Mercedes-Benz 300-Class Convertible 1993,1
00184.jpg,34,51,604,344,160,Mercedes-Benz 300-Class Convertible 1993,1
00185.jpg,24,35,620,438,132,Hyundai Veracruz SUV 2012,6
00186.jpg,6,72,255,178,124,HUMMER H2 SUT Crew Cab 2009,0
00187.jpg,4,408,1600,934,159,McLaren MP4-12C Coupe 2012,2
00188.jpg,25,162,1241,764,92,Dodge Challenger SRT8 2011,2
00189.jpg,18,15,583,421,182,Suzuki SX4 Hatchback 2012,3
00190.jpg,198,416,1271,935,44,Bugatti Veyron 16.4 Convertible 2009,1
00191.jpg,129,75,654,422,142,Isuzu Ascender SUV 2008,6
00192.jpg,37,24,259,212,188,Toyota 4Runner SUV 2012,6
00193.jpg,82,107,990,723,47,Buick Rainier SUV 2007,6
00194.jpg,187,327,1211,769,175,Rolls-Royce Ghost Sedan 2012,5
00195.jpg,150,339,1313,771,76,Chrysler Sebring Convertible 2010,1
00196.jpg,26,46,266,213,189,Volkswagen Golf Hatchback 2012,3
00197.jpg,47,102,492,371,109,Ford Edge SUV 2012,6
00198.jpg,91,121,574,357,5,Acura Integra Type R 2001,2
00199.jpg,151,298,1285,835,190,Volkswagen Golf Hatchback 1991,3
00200.jpg,30,55,301,187,15,Audi V8 Sedan 1994,5
00201.jpg,21,1,386,200,11,Audi RS 4 Convertible 2008,1
00202.jpg,233,217,1228,807,89,Dodge Dakota Crew Cab 2010,0
00203.jpg,30,167,945,545,187,Toyota Corolla Sedan 2012,5
00204.jpg,11,61,284,151,127,Honda Accord Coupe 2012,2
00205.jpg,29,70,612,356,22,Audi S4 Sedan 2012,5
00206.jpg,117,222,558,434,10,Aston Martin Virage Coupe 2012,2
00207.jpg,31,119,438,258,92,Dodge Challenger SRT8 2011,2
00208.jpg,26,151,360,256,7,Aston Martin V8 Vantage Convertible 2012,1
00209.jpg,58,136,973,636,62,Chevrolet Sonic Sedan 2012,5
00210.jpg,8,80,639,366,172,Porsche Panamera Sedan 2012,5
00211.jpg,11,47,598,365,175,Rolls-Royce Ghost Sedan 2012,5
00212.jpg,8,20,254,155,71,Chevrolet Monte Carlo Coupe 2007,2
00213.jpg,37,62,261,191,194,Volvo XC90 SUV 2007,6
00214.jpg,70,78,915,640,113,Ford F-150 Regular Cab 2007,0
00215.jpg,38,50,221,138,71,Chevrolet Monte Carlo Coupe 2007,2
00216.jpg,21,45,133,88,118,GMC Savana Van 2012,7
00217.jpg,45,39,594,444,17,Audi 100 Wagon 1994,8
00218.jpg,39,94,337,245,76,Chrysler Sebring Convertible 2010,1
00219.jpg,89,1,597,316,17,Audi 100 Wagon 1994,8
00220.jpg,16,103,462,347,106,Ford Mustang Convertible 2007,1
00221.jpg,29,21,477,299,9,Aston Martin Virage Convertible 2012,1
00222.jpg,89,58,545,338,195,smart fortwo Convertible 2012,1
00223.jpg,42,115,299,288,98,FIAT 500 Abarth 2012,2
00224.jpg,19,10,177,134,87,Dodge Sprinter Cargo Van 2009,7
00225.jpg,20,50,463,313,120,GMC Acadia SUV 2012,6
00226.jpg,46,15,202,156,110,Ford Ranger SuperCab 2011,0
00227.jpg,36,63,613,397,60,Chevrolet Impala Sedan 2007,5
00228.jpg,237,156,896,365,140,Infiniti G Coupe IPL 2012,2
00229.jpg,5,46,255,138,135,Hyundai Accent Sedan 2012,5
00230.jpg,223,542,3692,2478,182,Suzuki SX4 Hatchback 2012,3
00231.jpg,73,109,606,374,105,Ford F-450 Super Duty Crew Cab 2012,0
00232.jpg,15,110,544,381,83,Dodge Caliber Wagon 2007,8
00233.jpg,276,124,1495,951,193,Volvo 240 Sedan 1993,5
00234.jpg,99,364,1211,954,131,Hyundai Tucson SUV 2012,6
00235.jpg,59,63,549,404,110,Ford Ranger SuperCab 2011,0
00236.jpg,19,138,571,424,6,Acura ZDX Hatchback 2012,3
00237.jpg,11,10,396,265,64,Chevrolet Avalanche Crew Cab 2012,0
00238.jpg,163,91,527,346,25,BMW ActiveHybrid 5 Sedan 2012,5
00239.jpg,4,19,255,172,15,Audi V8 Sedan 1994,5
00240.jpg,45,60,251,171,137,Hyundai Sonata Sedan 2012,5
00241.jpg,32,59,1011,709,169,Nissan Juke Hatchback 2012,3
00242.jpg,10,53,273,167,101,Ferrari California Convertible 2012,1
00243.jpg,270,228,727,416,167,Nissan Leaf Hatchback 2012,3
00244.jpg,21,93,479,331,6,Acura ZDX Hatchback 2012,3
00245.jpg,22,59,536,238,60,Chevrolet Impala Sedan 2007,5
00246.jpg,1,317,1280,945,166,Mitsubishi Lancer Sedan 2012,5
00247.jpg,47,125,850,468,136,Hyundai Genesis Sedan 2012,5
00248.jpg,52,167,508,387,176,Rolls-Royce Phantom Sedan 2012,5
00249.jpg,6,155,631,450,152,Lamborghini Diablo Coupe 2001,2
00250.jpg,11,35,246,186,189,Volkswagen Golf Hatchback 2012,3
00251.jpg,576,466,2994,1953,166,Mitsubishi Lancer Sedan 2012,5
00252.jpg,37,50,253,158,104,Fisker Karma Sedan 2012,5
00253.jpg,51,105,579,335,49,Buick Enclave SUV 2012,6
00254.jpg,21,11,296,141,130,Hyundai Santa Fe SUV 2012,6
00255.jpg,29,78,734,396,5,Acura Integra Type R 2001,2
00256.jpg,85,215,776,511,20,Audi S5 Convertible 2012,1
00257.jpg,23,146,617,329,30,BMW 6 Series Convertible 2007,1
00258.jpg,34,86,227,166,50,Cadillac CTS-V Sedan 2012,5
00259.jpg,75,254,2514,1929,186,Toyota Camry Sedan 2012,5
00260.jpg,28,164,698,417,133,Hyundai Sonata Hybrid Sedan 2012,5
00261.jpg,32,79,378,221,15,Audi V8 Sedan 1994,5
00262.jpg,158,132,501,293,102,Ferrari 458 Italia Convertible 2012,1
00263.jpg,177,299,730,673,39,Bentley Arnage Sedan 2009,5
00264.jpg,42,72,472,299,68,Chevrolet Silverado 2500HD Regular Cab 2012,0
00265.jpg,15,74,387,195,54,Chevrolet Corvette Convertible 2012,1
00266.jpg,22,300,786,552,16,Audi 100 Sedan 1994,5
00267.jpg,25,133,620,374,45,Bugatti Veyron 16.4 Coupe 2009,2
00268.jpg,49,53,596,398,73,Chevrolet Silverado 1500 Extended Cab 2012,0
00269.jpg,29,192,605,391,184,Tesla Model S Sedan 2012,5
00270.jpg,15,70,357,186,121,GMC Canyon Extended Cab 2012,0
00271.jpg,11,23,141,80,173,Ram C/V Cargo Van Minivan 2012,4
00272.jpg,8,1,590,327,99,FIAT 500 Convertible 2012,1
00273.jpg,37,65,458,321,68,Chevrolet Silverado 2500HD Regular Cab 2012,0
00274.jpg,31,69,435,310,19,Audi S6 Sedan 2011,5
00275.jpg,165,183,495,358,129,Hyundai Veloster Hatchback 2012,3
00276.jpg,75,93,529,360,131,Hyundai Tucson SUV 2012,6
00277.jpg,72,193,926,613,172,Porsche Panamera Sedan 2012,5
00278.jpg,1,38,251,135,155,Lincoln Town Car Sedan 2011,5
00279.jpg,16,31,553,297,46,Buick Regal GS 2012,5
00280.jpg,3,33,261,176,106,Ford Mustang Convertible 2007,1
00281.jpg,214,240,387,342,150,Lamborghini Aventador Coupe 2012,2
00282.jpg,20,97,460,356,60,Chevrolet Impala Sedan 2007,5
00283.jpg,112,190,664,342,104,Fisker Karma Sedan 2012,5
00284.jpg,49,101,942,619,93,Dodge Durango SUV 2012,6
00285.jpg,7,20,634,298,193,Volvo 240 Sedan 1993,5
00286.jpg,116,143,769,713,194,Volvo XC90 SUV 2007,6
00287.jpg,56,299,1266,721,90,Dodge Dakota Club Cab 2007,0
00288.jpg,60,46,258,138,188,Toyota 4Runner SUV 2012,6
00289.jpg,205,197,741,425,14,Audi R8 Coupe 2012,2
00290.jpg,68,30,620,506,139,Hyundai Azera Sedan 2012,5
00291.jpg,27,147,573,471,141,Infiniti QX56 SUV 2011,6
00292.jpg,133,73,806,251,9,Aston Martin Virage Convertible 2012,1
00293.jpg,24,27,936,380,103,Ferrari 458 Italia Coupe 2012,2
00294.jpg,11,141,629,386,47,Buick Rainier SUV 2007,6
00295.jpg,150,114,524,433,49,Buick Enclave SUV 2012,6
00296.jpg,18,115,618,456,119,GMC Yukon Hybrid SUV 2012,6
00297.jpg,56,157,639,455,86,Dodge Ram Pickup 3500 Quad Cab 2009,0
00298.jpg,49,67,362,245,176,Rolls-Royce Phantom Sedan 2012,5
00299.jpg,24,66,982,711,146,Jeep Liberty SUV 2012,6
00300.jpg,41,103,994,692,168,Nissan NV Passenger Van 2012,7
00301.jpg,52,36,247,189,120,GMC Acadia SUV 2012,6
00302.jpg,1,37,296,171,18,Audi TT Hatchback 2011,3
00303.jpg,6,47,297,193,30,BMW 6 Series Convertible 2007,1
00304.jpg,14,29,235,168,155,Lincoln Town Car Sedan 2011,5
00305.jpg,37,21,169,122,142,Isuzu Ascender SUV 2008,6
00306.jpg,37,125,582,456,82,Dodge Caliber Wagon 2012,8
00307.jpg,171,63,1187,894,57,Chevrolet Traverse SUV 2012,6
00308.jpg,16,136,775,418,5,Acura Integra Type R 2001,2
00309.jpg,50,122,589,338,126,Honda Odyssey Minivan 2007,4
00310.jpg,36,43,407,319,130,Hyundai Santa Fe SUV 2012,6
00311.jpg,1,69,280,228,14,Audi R8 Coupe 2012,2
00312.jpg,53,79,627,464,72,Chevrolet Malibu Sedan 2007,5
00313.jpg,13,44,477,289,23,Audi S4 Sedan 2007,5
00314.jpg,33,71,615,435,86,Dodge Ram Pickup 3500 Quad Cab 2009,0
00315.jpg,555,278,1543,1207,169,Nissan Juke Hatchback 2012,3
00316.jpg,10,29,276,164,122,Geo Metro Convertible 1993,1
00317.jpg,2,48,300,202,157,Maybach Landaulet Convertible 2012,1
00318.jpg,73,159,445,376,10,Aston Martin Virage Coupe 2012,2
00319.jpg,38,8,564,402,46,Buick Regal GS 2012,5
00320.jpg,42,17,440,282,6,Acura ZDX Hatchback 2012,3
00321.jpg,42,63,593,397,93,Dodge Durango SUV 2012,6
00322.jpg,9,304,1009,677,74,Chevrolet Silverado 1500 Regular Cab 2012,0
00323.jpg,161,263,632,415,181,Suzuki Kizashi Sedan 2012,5
00324.jpg,15,26,199,123,185,Toyota Sequoia SUV 2012,6
00325.jpg,12,21,285,142,127,Honda Accord Coupe 2012,2
00326.jpg,29,28,432,249,192,Volvo C30 Hatchback 2012,3
00327.jpg,2,6,546,298,179,Spyker C8 Coupe 2009,2
00328.jpg,41,49,244,176,61,Chevrolet Tahoe Hybrid SUV 2012,6
00329.jpg,10,105,660,475,113,Ford F-150 Regular Cab 2007,0
00330.jpg,168,92,333,305,165,Mercedes-Benz Sprinter Van 2012,7
00331.jpg,26,81,596,391,180,Suzuki Aerio Sedan 2007,5
00332.jpg,76,247,396,396,100,Ferrari FF Coupe 2012,2
00333.jpg,30,110,472,316,102,Ferrari 458 Italia Convertible 2012,1
00334.jpg,179,300,1403,894,21,Audi S5 Coupe 2012,2
00335.jpg,23,31,236,176,124,HUMMER H2 SUT Crew Cab 2009,0
00336.jpg,309,598,1767,995,111,Ford GT Coupe 2006,2
00337.jpg,45,55,530,308,37,BMW Z4 Convertible 2012,1
00338.jpg,14,129,441,360,105,Ford F-450 Super Duty Crew Cab 2012,0
00339.jpg,39,5,234,174,55,Chevrolet Corvette ZR1 2012,2
00340.jpg,139,152,488,305,8,Aston Martin V8 Vantage Coupe 2012,2
00341.jpg,62,116,974,610,66,Chevrolet Malibu Hybrid Sedan 2010,5
00342.jpg,152,195,502,436,168,Nissan NV Passenger Van 2012,7
00343.jpg,63,36,760,504,146,Jeep Liberty SUV 2012,6
00344.jpg,36,59,770,397,144,Jeep Patriot SUV 2012,6
00345.jpg,26,13,234,194,112,Ford F-150 Regular Cab 2012,0
00346.jpg,112,21,2859,1928,62,Chevrolet Sonic Sedan 2012,5
00347.jpg,100,190,907,691,144,Jeep Patriot SUV 2012,6
00348.jpg,14,59,522,266,54,Chevrolet Corvette Convertible 2012,1
00349.jpg,42,82,956,685,88,Dodge Journey SUV 2012,6
00350.jpg,17,52,247,158,85,Dodge Ram Pickup 3500 Crew Cab 2010,0
00351.jpg,13,108,454,305,41,Bentley Continental GT Coupe 2012,2
00352.jpg,107,40,433,240,142,Isuzu Ascender SUV 2008,6
00353.jpg,3,60,499,289,116,Ford Fiesta Sedan 2012,5
00354.jpg,44,212,984,596,56,Chevrolet Corvette Ron Fellows Edition Z06 2007,2
00355.jpg,28,93,1011,675,169,Nissan Juke Hatchback 2012,3
00356.jpg,187,313,1381,1087,114,Ford Focus Sedan 2007,5
00357.jpg,31,47,415,255,38,Bentley Continental Supersports Conv. Convertible 2012,1
00358.jpg,53,116,562,353,28,BMW 3 Series Sedan 2012,5
00359.jpg,27,71,630,422,57,Chevrolet Traverse SUV 2012,6
00360.jpg,12,23,245,176,69,Chevrolet Silverado 1500 Classic Extended Cab 2007,0
00361.jpg,17,64,941,620,118,GMC Savana Van 2012,7
00362.jpg,108,121,539,357,49,Buick Enclave SUV 2012,6
00363.jpg,14,60,402,300,127,Honda Accord Coupe 2012,2
00364.jpg,15,47,286,184,52,Cadillac Escalade EXT Crew Cab 2007,0
00365.jpg,17,82,630,496,52,Cadillac Escalade EXT Crew Cab 2007,0
00366.jpg,67,55,508,338,31,BMW X5 SUV 2007,6
00367.jpg,30,118,618,334,176,Rolls-Royce Phantom Sedan 2012,5
00368.jpg,14,76,292,195,58,Chevrolet Camaro Convertible 2012,1
00369.jpg,40,52,603,357,127,Honda Accord Coupe 2012,2
00370.jpg,57,148,568,363,9,Aston Martin Virage Convertible 2012,1
00371.jpg,5,56,430,245,82,Dodge Caliber Wagon 2012,8
00372.jpg,2,190,371,490,167,Nissan Leaf Hatchback 2012,3
00373.jpg,243,318,805,629,171,Plymouth Neon Coupe 1999,2
00374.jpg,9,184,740,499,5,Acura Integra Type R 2001,2
00375.jpg,122,48,697,401,175,Rolls-Royce Ghost Sedan 2012,5
00376.jpg,74,187,917,734,134,Hyundai Elantra Sedan 2007,5
00377.jpg,20,48,624,453,132,Hyundai Veracruz SUV 2012,6
00378.jpg,16,25,290,215,155,Lincoln Town Car Sedan 2011,5
00379.jpg,119,194,942,586,53,Chevrolet Silverado 1500 Hybrid Crew Cab 2012,0
00380.jpg,137,76,600,370,98,FIAT 500 Abarth 2012,2
00381.jpg,66,88,455,322,124,HUMMER H2 SUT Crew Cab 2009,0
00382.jpg,4,55,494,365,145,Jeep Wrangler SUV 2012,6
00383.jpg,80,1,549,431,57,Chevrolet Traverse SUV 2012,6
00384.jpg,51,87,489,290,58,Chevrolet Camaro Convertible 2012,1
